Distances,RSSI
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-20
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-19
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-18
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-17
0.0,-16
0.0,-16
0.0,-16
0.0,-16
0.0,-16
0.0,-16
0.0,-16
0.0,-16
0.0,-16
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.0,-15
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-46
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-45
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
0.1,-41
